index,return
2021-07-01 00:00:00+00:00,0.006453369
2021-07-02 00:00:00+00:00,0.001076408
2021-07-05 00:00:00+00:00,-0.028404692
2021-07-06 00:00:00+00:00,0.000920113
2021-07-07 00:00:00+00:00,-0.000528551
2021-07-08 00:00:00+00:00,0.011289479
2021-07-09 00:00:00+00:00,-0.010161152
2021-07-12 00:00:00+00:00,-0.003698811
2021-07-13 00:00:00+00:00,0.012481211
2021-07-14 00:00:00+00:00,0.001829502
2021-07-15 00:00:00+00:00,-0.011476675
2021-07-16 00:00:00+00:00,0.013452008
2021-07-19 00:00:00+00:00,-0.011004622
2021-07-20 00:00:00+00:00,0.003674708
2021-07-21 00:00:00+00:00,-0.000880103
2021-07-22 00:00:00+00:00,0.006860196
2021-07-23 00:00:00+00:00,0.001498607
2021-07-26 00:00:00+00:00,-0.012136357
2021-07-27 00:00:00+00:00,-0.032211014
2021-07-28 00:00:00+00:00,-0.035324962
2021-07-29 00:00:00+00:00,0.001929909
2021-07-30 00:00:00+00:00,0.018861953
2021-08-02 00:00:00+00:00,-0.008062451
2021-08-03 00:00:00+00:00,0.025475407
2021-08-04 00:00:00+00:00,0.0001464
2021-08-05 00:00:00+00:00,0.008995841
2021-08-06 00:00:00+00:00,-0.006061161
2021-08-09 00:00:00+00:00,-0.00547735
2021-08-10 00:00:00+00:00,0.013003588
2021-08-11 00:00:00+00:00,0.011550411
2021-08-12 00:00:00+00:00,-0.005513897
2021-08-13 00:00:00+00:00,-0.008372253
2021-08-16 00:00:00+00:00,-0.00550293
2021-08-17 00:00:00+00:00,-0.000993796
2021-08-18 00:00:00+00:00,-0.020980122
2021-08-19 00:00:00+00:00,0.011749072
2021-08-20 00:00:00+00:00,-0.006558528
2021-08-23 00:00:00+00:00,-0.019100974
2021-08-24 00:00:00+00:00,0.013966588
2021-08-25 00:00:00+00:00,0.010858834
2021-08-26 00:00:00+00:00,0.001997999
2021-08-27 00:00:00+00:00,-0.019711046
2021-08-30 00:00:00+00:00,0.005296953
2021-08-31 00:00:00+00:00,-0.002853299
2021-09-01 00:00:00+00:00,-0.001591517
2021-09-02 00:00:00+00:00,0.013286305
2021-09-03 00:00:00+00:00,-9.73E-06
2021-09-06 00:00:00+00:00,-0.005411106
2021-09-07 00:00:00+00:00,0.018720345
2021-09-08 00:00:00+00:00,0.011979424
2021-09-09 00:00:00+00:00,-0.004145345
2021-09-10 00:00:00+00:00,-0.000426195
2021-09-13 00:00:00+00:00,0.008754222
2021-09-14 00:00:00+00:00,-0.004360627
2021-09-15 00:00:00+00:00,-0.014924515
2021-09-16 00:00:00+00:00,-0.010136539
2021-09-17 00:00:00+00:00,-0.012249229
2021-09-22 00:00:00+00:00,0.010034408
2021-09-23 00:00:00+00:00,-0.007037298
2021-09-24 00:00:00+00:00,0.006517983
2021-09-27 00:00:00+00:00,-0.000776396
2021-09-28 00:00:00+00:00,0.005761938
2021-09-29 00:00:00+00:00,0.001324115
2021-09-30 00:00:00+00:00,-0.010217375
2021-10-08 00:00:00+00:00,0.006713898
2021-10-11 00:00:00+00:00,0.013060687
2021-10-12 00:00:00+00:00,0.001267946
2021-10-13 00:00:00+00:00,-0.010606334
2021-10-14 00:00:00+00:00,0.011522088
2021-10-15 00:00:00+00:00,-0.005363566
2021-10-18 00:00:00+00:00,0.003764257
2021-10-19 00:00:00+00:00,-0.011624461
2021-10-20 00:00:00+00:00,0.00983592
2021-10-21 00:00:00+00:00,-0.002547086
2021-10-22 00:00:00+00:00,0.003631432
2021-10-25 00:00:00+00:00,0.006434598
2021-10-26 00:00:00+00:00,0.003991773
2021-10-27 00:00:00+00:00,-0.003298528
2021-10-28 00:00:00+00:00,-0.013083359
2021-10-29 00:00:00+00:00,-0.006946766
2021-11-01 00:00:00+00:00,0.009175747
2021-11-02 00:00:00+00:00,-0.003684222
2021-11-03 00:00:00+00:00,-0.010395149
2021-11-04 00:00:00+00:00,-0.003870743
2021-11-05 00:00:00+00:00,0.009879464
2021-11-08 00:00:00+00:00,-0.005421544
2021-11-09 00:00:00+00:00,0.001204726
2021-11-10 00:00:00+00:00,-0.000296008
2021-11-11 00:00:00+00:00,-0.005271972
