,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20
0,688981.XSHG,688981,中芯国际,XSHG,2020-07-16,27.46,27.46,95.0,95.0,80.0,82.92,552103902,47967171062,927137,0.5308,1,86255971104.0,6.14891220168e+11,2.0197,305.3655,352.0651,13.8074,1,86.881,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,0.0,,,,1.1962,0.4239,0.1719,0.08,,0.0427,0.2169,82.92,82.92,82.92,82.92,82.92,0.2447,1.2461,0.5761,0.3827,0.0022,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.1064,25.1806,0.1026,0.9592,0.2177,82.92,82.92,82.92,82.92,82.92,,,1.0518,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,14.3552,65.2889,293.8743,24.8693,,1.933,,,,0.0207,,0.0508,,,,,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.5308,0.5308,0.5308,0.5308,0.5308,0.5308,,1.8729,,,0.0033,,0,0.0439,,,0.0832,0.179,0.2118,0.0153,0.0616,-0.0069,-398.7941,1,,,,,1,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,39.8222,46.6074,26.2518,,,,,,,,,,,,0.0,,552103902,552103902.0,552103902.0,47967.1711,47967.1711,,,0.0,0.0,552103902.0,552103902.0,552103902.0,552103902.0,0.0,0.0,,,,,,0.0,47466212801.3,-337.1514,-337.1514,-337.1514,,,0.0,,0.0,0.0,,,,,0,100,100,0.0,0.0,,,,,,0.0,0.0,0.0,,,82.1143,,,,,,0.0,0.0,,,,82.92,82.92,0.0,82.92,1.0,82.92,82.92,1.0,,,,,1.0,-2.92,12.08,0.1809,,,,,0.0
1,688981.XSHG,688981,中芯国际,XSHG,2020-07-17,82.92,82.92,79.0,84.9,75.0,77.06,219471588,17388147968,341980,0.211,1,80160216272.0,5.71436534324e+11,-0.0707,283.7852,327.1845,12.8316,1,79.227,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,0.0,,,,1.1962,0.4239,0.1479,0.08,,0.0427,0.2169,81.8545,82.8231,82.3619,80.9667,82.7279,0.2355,1.2461,0.5761,0.3827,0.0023,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0714,25.1073,0.1026,0.9592,0.2177,79.99,79.99,79.99,79.99,79.99,,,1.0537,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.8624,63.0475,283.7852,24.0155,,1.933,,,,0.0207,,0.0508,,,-0.0733,-0.0733,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.3709,0.3709,0.3709,0.3709,0.3709,0.3709,,1.8184,,,0.0027,,0,0.0357,,,-0.1521,-0.0727,0.2193,0.0158,0.0616,-0.0069,-398.7941,1,0.0,0.6097,,0.0011,1,-0.7478,,9.9,9.9,-3.663,-3.663,-3.663,-3.663,71.7027,88.2773,-66.6667,-66.6667,-66.6667,-66.6667,29.9815,41.0654,7.8137,,,,,,,,,,,,-0.407,,332632314,442368108.0,442368108.0,32677.6595,32677.6595,21622.6346,21622.6346,-5306954.2974,-26534771.4871,491625299.455,500929699.846,527464471.333,441226464.0,-42455634.3794,0.0,2.5156,,,235206564.871,235206564.871,-1.3437,64801541965.4,-465.2873,-401.2194,-401.2194,,,-40.7705,,-17.0284,-17.0284,0.0,50.5051,100.0,,-4,100,96,-0.0935,-0.4674,-1.0,0.0,1.0,,,-15.5102,-7.7551,-7.7551,-0.0026,-0.0004,74.2769,-2.93,-2.93,-5.86,-5.86,-200.8613,4.9972,4.9972,,,,82.0185,82.4859,1.465,79.99,1.038,80.2696,78.7963,1.038,,,,0.0,1.9448,-7.0829,2.8171,0.1285,100.0,100.0,,,0.0
2,688981.XSHG,688981,中芯国际,XSHG,2020-07-20,77.06,77.06,77.19,80.51,70.02,79.17,228583338,17005228356,358430,0.2197,1,82355104104.0,5.87760732195e+11,0.0274,291.8921,336.5312,13.1982,1,74.394,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,0.0,,,,1.1962,0.4239,0.1396,0.08,,0.0427,0.2169,81.3664,82.7628,82.0579,80.3678,82.6112,0.2355,1.2461,0.5761,0.3827,0.0022,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0984,25.1343,0.1026,0.9592,0.2177,79.7167,79.7167,79.7167,79.7167,79.7167,,,1.0522,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,14.242,64.7738,291.5556,24.6731,,1.933,,,,0.0207,,0.0508,,,-0.0463,-0.0463,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.3205,0.3205,0.3205,0.3205,0.3205,0.3205,,1.788,,,0.0033,,0,0.0438,,,0.0909,0.1682,0.2135,0.0154,0.0616,-0.0069,-398.7941,1,0.3601,0.5684,0.8007,0.0012,1,-0.9066,,10.195,10.195,-0.6858,-0.6858,-0.6858,-0.6858,73.7807,85.6527,-72.1431,-72.1431,-72.1431,-72.1431,32.1974,38.1094,20.3734,,,,,,,,,,,,-0.438,,561215652,481983956.0,481983956.0,27453.5158,27453.5158,17766.3783,17766.3783,-13504537.1502,-46294868.5612,443799488.281,459030259.562,505325128.123,370345422.0,-65580662.822,0.0,3.5571,,,189469802.183,189469802.183,-3.5782,82303406211.6,-295.1028,-365.8472,-365.8472,,,0.4067,,-18.519,-18.519,0.0,48.9456,100.0,,-4,96,92,-0.2068,-0.6601,-1.0,0.0,1.0,,,-9.2513,-8.2538,-8.2538,-0.0043,-0.0009,75.8217,-1.6016,-1.6016,-1.875,-1.875,14.1257,4.8441,4.8441,,,,81.5802,82.2403,1.1589,79.7167,1.0069,79.4732,78.5448,1.0069,,,,7.6396,2.8613,-11.6467,-1.1567,0.1325,100.0,102.7381,,,0.0
3,688981.XSHG,688981,中芯国际,XSHG,2020-07-21,79.17,79.17,78.3,82.89,77.77,78.63,161873271,12977663937,222217,0.1556,1,81793379256.0,5.83751754105e+11,-0.0068,289.9012,334.2358,13.1081,1,80.172,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,0.0,,,,1.1962,0.4239,0.1318,0.08,,0.0427,0.2169,80.8689,82.6944,81.7314,79.7885,82.4807,0.2353,1.2461,0.5761,0.3827,0.0023,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0927,25.1275,0.1026,0.9592,0.2177,79.445,79.445,79.445,79.445,79.445,,,1.0525,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,14.1611,64.4062,289.9012,24.5331,,1.933,,,,0.0207,,0.0508,,,-0.0531,-0.0531,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.2793,0.2793,0.2793,0.2793,0.2793,0.2793,,1.788,,,0.0034,,0,0.0441,,,0.0916,0.1682,0.2147,0.0155,0.0616,-0.0069,-398.7941,1,0.2679,0.609,1.2114,0.0011,1,-1.0236,,8.5033,8.5033,-1.0259,-1.0259,-1.0259,-1.0259,74.4779,84.4121,-13.1937,-13.1937,-13.1937,-13.1937,32.9541,36.391,26.0803,,,,,,,,,,,,-0.5033,,399342381,461323562.25,461323562.25,23834.5528,23834.5528,16211.6327,16211.6327,-24117719.7271,-66570450.0346,392540176.048,413313799.783,479884249.818,300854705.0,-84905460.615,0.0,2.0472,,,176880510.554,176880510.554,-3.9373,95214957884.2,-402.5968,-375.0346,-375.0346,,,-16.9877,,-9.8841,-9.8841,9.3297,39.1219,61.4886,,-4,92,88,-0.3347,-0.8465,-0.321,0.3395,0.6605,,,-10.3554,-8.7792,-8.7792,-0.0054,-0.0014,72.5739,-1.0698,-1.0698,-1.076,-1.076,7.1477,4.9285,4.9285,,,,81.1264,81.9729,1.0729,79.1554,1.0067,78.7453,78.2112,1.0104,,,,39.3514,3.6979,-3.4629,1.6571,0.0651,99.3179,102.7381,,,0.5
4,688981.XSHG,688981,中芯国际,XSHG,2020-07-22,78.63,78.63,77.8,81.78,77.2,79.57,133942790,10682494191,183708,0.1288,1,82771196584.0,5.90730345595e+11,0.012,293.3668,338.2315,13.2648,1,79.754,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,0.0,,,,1.1962,0.4239,0.124,0.08,,0.0427,0.2169,80.6327,82.6428,81.5256,79.7157,82.3853,0.2353,1.2461,0.5761,0.3827,0.0022,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.1046,25.1393,0.1026,0.9592,0.2177,79.47,79.47,79.47,79.47,79.47,,,1.0519,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,14.3304,65.1762,293.3668,24.8264,,1.933,,,,0.0207,,0.0508,,,-0.0412,-0.0412,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.2492,0.2492,0.2492,0.2492,0.2492,0.2492,,1.8239,,,0.0033,,0,0.0438,,,0.098,0.1739,0.2122,0.0153,0.0616,-0.0069,-398.7941,1,0.4283,0.6499,1.1065,0.0011,1,-0.9172,,7.5225,7.5225,0.1258,0.1258,0.1258,0.1258,75.167,83.773,-18.4867,-18.4867,-18.4867,-18.4867,34.7129,35.8316,32.4755,,,,,,,,,,,,-0.4334,,533285171,475715884.0,475715884.0,21204.1411,21204.1411,15221.9613,15221.9613,-36079238.1949,-83925312.066,345522469.494,370333644.432,454258956.498,245217400.0,-95692147.7422,0.0,2.3984,,,168426752.052,168426752.052,-4.8775,1.05865642069e+11,-397.9176,-379.6112,-379.6112,,,-21.0704,,-8.4817,-8.4817,7.9096,35.0615,63.1864,,-4,88,84,-0.4494,-0.908,-0.3526,0.3237,0.6763,,,-8.7542,-8.7742,-8.7742,-0.0054,-0.0017,71.5968,-0.7445,-0.7445,-0.513,-0.513,26.5393,4.7641,4.7641,,,,80.8869,81.7949,0.8783,79.3833,0.9977,78.7399,78.8568,0.9987,,,,43.8305,4.4741,-3.7954,0.7846,0.0576,100.5052,102.7381,,,0.5
5,688981.XSHG,688981,中芯国际,XSHG,2020-07-23,79.57,79.57,78.01,79.72,75.85,78.78,122936978,9546577667,173953,0.1182,1,81949413936.0,5.84989650336e+11,-0.0099,290.5159,334.9445,13.1359,1,77.654,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,-0.0607,,,,1.1962,0.4239,0.0939,0.08,,0.0427,0.2169,80.2959,82.579,81.2641,79.4038,82.267,0.2353,1.2461,0.5761,0.3827,0.0023,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0946,25.1294,0.1026,0.9592,0.2177,79.355,79.355,79.355,78.642,79.355,,,1.0524,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,14.1882,64.5291,290.4542,24.5799,,1.933,,,0.9501,0.0207,,0.0508,,,-0.0512,-0.0512,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.2274,0.2274,0.2274,0.2274,0.1667,0.2274,,1.8239,,,0.0034,,0,0.0442,,,0.098,0.1739,0.2143,0.0155,0.0616,-0.0069,-398.7941,1,0.2935,0.6791,1.3316,0.0011,1,-0.895,,6.792,6.792,-0.7246,-0.7246,0.1755,-0.7246,75.4652,83.2448,-55.386,-55.386,-31.5977,-55.386,34.8313,35.4982,33.4975,,,,,,,,,,,,-0.3657,,410348193,464821268.833,464821268.833,19261.2139,19261.2139,14422.7696,14422.7696,-48352184.3346,-97443968.8933,305052380.131,332272618.827,429716587.72,204457259.333,-98183569.1174,0.0,1.8137,,,160587765.403,160587765.403,-6.0991,1.15469069e+11,-334.7019,-372.1263,-372.1263,,,-0.7111,,-7.9627,-7.9627,7.0082,35.0412,66.6668,,-4,84,80,-0.5613,-1.0088,-0.4038,0.2981,0.7019,,,-9.9748,-8.9743,-8.9743,-0.0052,-0.0021,71.7537,-0.5616,-0.5616,-0.3917,-0.3917,19.1728,4.803,4.7848,,53.94,,80.5628,81.5716,0.9059,79.2646,1.0062,78.4352,78.6778,1.0073,,,,38.4664,5.2003,-4.8289,-0.9589,0.0491,99.5073,102.7381,,,0.5
6,688981.XSHG,688981,中芯国际,XSHG,2020-07-24,78.78,78.78,77.5,78.12,71.52,71.95,130167775,9696538245,201426,0.1251,1,74844634840.0,5.3427272584e+11,-0.0867,265.329,305.9058,11.9971,1,74.493,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,-0.0632,,,,1.1962,0.4239,0.0883,0.08,,0.0427,0.2169,78.7784,82.4033,80.3771,76.9192,81.9288,0.2352,1.2461,0.5761,0.3827,0.0025,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0042,25.0387,0.1026,0.9592,0.2177,78.2971,78.2971,78.2971,77.62,78.2971,,,1.0574,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,12.9608,58.9471,265.329,22.4537,,1.933,,,0.9337,0.0207,,0.0508,,,-0.1419,-0.1419,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.2127,0.2127,0.2127,0.2127,0.1495,0.2127,,1.8239,,,0.0037,,0,0.0484,,,0.098,0.1739,0.2346,0.0169,0.0616,-0.0069,-398.7941,1,0.0,0.6869,-0.9992,0.0017,1,-1.6958,,6.87,6.87,-8.1064,-8.1064,-7.3048,-8.1064,71.6682,84.926,-142.4848,-142.4848,-131.258,-142.4848,25.7963,32.2642,12.8605,-13.2296,,,,,,,,,,,-1.1368,,280180418,419500688.167,438444004.429,17894.8316,12882.7751,13653.421,3561.6166,-59951391.6372,-106348220.847,273255179.198,301179565.931,407527786.778,179694097.889,-92793658.4206,0.0,1.4416,,-76.4233,152003726.057,152003726.057,-7.5107,1.25083694755e+11,-447.9084,-382.9523,-390.5858,,-265.7452,-28.3378,,-8.9728,-10.4683,5.7739,39.3741,74.4223,,-24,100,76,-0.7732,-1.6211,-0.489,0.2555,0.7445,,,-21.26,-12.5177,-10.7294,-0.008,-0.0028,67.3593,-0.5495,-0.2721,-0.7366,-1.0382,-131.8694,6.6915,5.5899,,-8.35,,79.2377,80.8588,1.4539,77.7219,1.0802,75.1944,73.8496,1.0882,,,,30.7325,5.934,-7.9119,-1.3119,0.0917,99.5073,93.831,,,0.3333
7,688981.XSHG,688981,中芯国际,XSHG,2020-07-27,71.95,71.95,72.67,73.81,70.02,70.82,79110560,5664810635,121806,0.0761,1,73669173584.0,5.25881785184e+11,-0.0157,261.1619,301.1015,11.8087,1,71.606,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,-0.0749,,,,1.1962,0.4239,0.076,0.08,,0.0427,0.2169,77.3315,82.2118,79.4669,74.8861,81.5646,0.2352,1.2461,0.5761,0.3827,0.0025,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,26.9883,25.0229,0.1026,0.9592,0.2177,77.3625,77.3625,77.3625,75.95,77.3625,,,1.0583,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,12.7573,58.0213,261.1619,22.101,,1.933,,,0.8945,0.0207,,0.0508,,,-0.1577,-0.1577,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.1957,0.1957,0.1957,0.1957,0.1208,0.1957,,1.8239,,,0.0037,,0,0.0491,,,0.098,0.1739,0.2383,0.0172,0.0616,-0.0069,-398.7941,1,0.0,0.7343,-0.7036,0.0018,1,-2.2388,,6.43,6.3567,-8.4569,-8.4569,-6.7544,-8.4569,69.262,85.463,-142.5314,-142.5314,-108.3348,-142.5314,18.2651,27.5978,-0.4003,-8.0976,,,,,,,,,,,-1.7609,,201069858,397573612.167,408772236.125,16366.079,10928.8855,13359.7058,3803.1588,-71198209.5727,-116185481.315,237956157.526,267015103.48,383200584.795,146166251.926,-89974543.4842,0.0,1.2818,,-63.9541,149437363.843,149437363.843,-8.69,1.30744055323e+11,-493.6214,-396.786,-395.3082,,-128.7431,-51.6086,,-9.5909,-7.1117,5.2877,39.3912,76.3302,,-28,100,72,-1.0531,-2.1725,-0.5526,0.2237,0.7763,,,-22.5025,-13.683,-12.2011,-0.0112,-0.0038,51.8146,-0.5765,-0.438,-1.788,-1.3152,-63.8593,8.1115,7.1653,,-3.5,,77.9427,80.1152,2.3706,76.2654,1.0769,72.5913,71.0655,1.0924,,,,27.5061,6.6352,-8.1816,-4.3916,0.0535,97.9445,93.831,,,0.25
8,688981.XSHG,688981,中芯国际,XSHG,2020-07-28,70.82,70.82,72.82,75.16,72.03,72.56,81040594,5953460570,116428,0.0779,1,75479175872.0,5.39696614392e+11,0.0246,268.0226,309.0113,12.1189,1,73.463,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,-0.0774,,,,1.1962,0.4239,0.0638,0.08,,0.0427,0.2169,76.4639,82.0523,78.8091,74.1108,81.2693,0.2352,1.2461,0.5761,0.3827,0.0024,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0126,25.0471,0.1026,0.9592,0.2177,76.8289,76.8289,76.8289,74.736,76.8289,,,1.0569,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.0707,59.4469,267.5785,22.644,,1.933,,,0.9228,0.0207,,0.0508,,,-0.1335,-0.1335,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.1826,0.1826,0.1826,0.1826,0.1052,0.1826,,1.8239,,,0.0037,,0,0.048,,,0.098,0.1739,0.2326,0.0168,0.0616,-0.0069,-398.7941,1,0.1438,0.7668,-0.3192,0.0019,1,-2.2206,,6.1688,6.0206,-5.5564,-5.5564,-2.9116,-5.5564,68.6029,85.0549,-86.2942,-86.2942,-47.0702,-86.2942,15.5661,23.5872,-0.4761,-8.3491,,,,,,,,,,,-1.8888,,282110452,351056078.833,394698704.556,15209.1214,9086.9242,12969.9067,2821.2077,-81441512.2124,-122414722.771,209426055.067,238403640.483,360818363.254,124457699.284,-81946421.118,0.0,1.3954,,-64.5466,145626193.719,145626193.719,-8.7005,1.36680278833e+11,-547.2169,-413.5005,-437.3272,,-145.8435,-73.4898,,-7.8042,-2.4469,7.5583,35.9271,65.2375,,-28,96,68,-1.3307,-2.441,-0.4674,0.2663,0.7337,,,-20.5114,-15.5597,-13.1244,-0.0126,-0.0048,54.2701,-0.5863,-0.5846,-1.8123,-1.2408,-2.9747,8.7081,7.8429,,-10.91,,77.1146,79.5556,2.6428,75.2049,1.0365,71.7533,71.3265,1.0588,,,,37.3668,7.3054,-5.3657,-2.2357,0.0431,97.9445,96.1364,,,0.25
9,688981.XSHG,688981,中芯国际,XSHG,2020-07-29,72.56,72.56,71.9,75.2,71.6,75.07,86885769,6433711649,122743,0.0835,1,78090156184.0,5.58365832999e+11,0.0346,277.2941,319.7007,12.5381,1,74.048,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,0.0,0.0,-0.0765,,,,1.1962,0.4239,0.0607,0.08,,0.0427,0.2169,76.2105,81.9369,78.453,74.4305,81.0661,0.2348,1.2461,0.5761,0.3827,0.0024,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0483,25.0811,0.1026,0.9592,0.2177,76.653,76.653,76.653,73.836,76.653,,,1.0549,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.5453,61.6053,277.2941,23.4662,,1.933,,,0.9434,0.0207,,0.0508,,,-0.0995,-0.0995,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.1727,0.1727,0.1727,0.1727,0.0962,0.1727,,1.8239,,,0.0035,,0,0.0463,,,0.098,0.1739,0.2245,0.0162,0.0616,-0.0069,-398.7941,1,0.3512,0.7857,-0.1633,0.002,1,-1.7482,,5.8833,5.6172,-2.0652,-2.0652,1.6713,-2.0652,68.8181,84.4879,-64.2682,-64.2682,-8.0058,-64.2682,21.6901,22.9548,19.1607,-4.5275,,,,3.9175,0.0,100.0,,,,,-1.4932,,368996221,345998385.5,392128456.2,14331.5804,7996.2655,12539.0717,2216.3271,-90239982.0219,-125433861.26,187146003.055,215093198.716,340527059.976,111933722.523,-70387758.476,0.0,1.5171,,-46.3248,141110413.801,141110413.801,-7.9108,1.43106060689e+11,-466.6062,-418.8111,-447.9954,,-102.9169,-50.1115,,-7.1046,-5.2516,7.0444,34.2965,65.9204,,-28,92,64,-1.5492,-2.4233,-0.4736,0.2632,0.7368,75.07,,-17.5058,-16.7515,-13.5626,-0.0114,-0.0053,50.3086,-0.5689,-0.6457,-1.2083,-0.9984,50.0743,8.7869,7.9172,,-3.18,,76.8,79.2233,2.8696,75.2286,1.0021,72.4598,73.4607,1.0211,,,,40.8521,7.9656,-5.4634,-1.8634,0.048,97.9445,99.462,,,0.25
