,features,importance
147,DELS,0.5429424307480983
148,MAXDN2,0.6512215160204865
149,MAXDP2,0.7242558549906243
150,DELS2,0.5434632486252385
151,ETA_Alpha,0.5614393259860346
152,ETA_Epsilon_1,0.6864205305089693
153,ETA_dEpsilon_A,0.6879981791049988
154,ETA_Shape_P,0.6759138035003256
155,ETA_Shape_Y,0.7394204840055261
156,ETA_Beta,0.6207649590817323
157,ETA_BetaP,0.7047104708573303
158,ETA_Beta_s,0.5608621850366095
159,ETA_Beta_ns,0.7657218468880262
160,ETA_BetaP_ns,0.7098045652854318
161,ETA_dBeta,0.6162354739263408
162,ETA_dBetaP,0.7133946151837188
163,ETA_Beta_ns_d,0.6677212001644205
164,ETA_Eta,0.5301940271783975
165,ETA_EtaP,0.637728487797897
166,ETA_Eta_R,0.5331518746808986
167,ETA_Eta_F,0.5552652419841028
168,ETA_EtaP_F,0.7645418870339858
169,ETA_Eta_L,0.5495132655166297
170,ETA_EtaP_L,0.6461585130011536
171,ETA_Eta_R_L,0.5589770961787959
172,ETA_Eta_F_L,0.6591404437142063
173,ETA_EtaP_F_L,0.6767926428865371
174,ETA_Eta_B,0.5547842969285566
175,ETA_Eta_B_RC,0.5755574896485811
176,FMF,0.7316321109294914
177,fragC,0.5152840671824467
178,nHBAcc,0.5283625681963873
179,nHBAcc2,0.546831023343534
180,nHBAcc3,0.5627061257802797
181,nHBAcc_Lipinski,0.537841947250296
182,nHBDon,0.5242792017260653
183,nHBDon_Lipinski,0.5203926120610235
184,HybRatio,0.6442400348266101
185,Kier1,0.5411124752671655
186,Kier2,0.5383879661879599
187,Kier3,0.5286398367868232
188,nAtomLC,0.5198790203539958
189,nAtomP,0.7368775146865881
190,nAtomLAC,0.5650854478708229
191,MLogP,0.7880235179287924
192,McGowan_Volume,0.5474492537322615
193,MDEC-12,0.6037525441132626
194,MDEC-13,0.5509499246896638
195,MDEC-22,0.7300531997266446
196,MDEC-23,0.799675141729209
197,MDEC-33,0.6255970026102592
198,MDEO-11,0.5389564630598491
199,MDEO-12,0.5686585479395214
200,MLFER_A,0.6232127370671696
201,MLFER_BH,0.5377314314443438
202,MLFER_BO,0.5379089753955343
203,MLFER_S,0.5553080915903441
204,MLFER_E,0.6339458497179746
205,MLFER_L,0.5581286372065138
206,nRing,0.785649141726415
207,n5Ring,0.6082795528561196
208,n6Ring,0.7861197138771285
209,nFRing,0.5947710740402254
210,nF10Ring,0.6036371377881046
211,nTRing,0.7050397227069933
212,nT5Ring,0.6082795528561196
213,nT6Ring,0.7808854671425299
