model,Unnamed: 0,MAE,MSE,RMSE,R2,MAE_t,MSE_t,RMSE_T,R2_t
KNN,47.5,0.577063171255616,0.6356278722868246,0.7955945266967708,0.6827340521100489,0.4595258892256527,0.4015096296423245,0.6336224450566669,0.8015928490907773
MLP,48.5,0.6479581655255112,0.7456459677352167,0.8613926996914689,0.6286830862191775,0.5474914803780317,0.5090754833582278,0.7134217962245112,0.7484300309539009
RF,50.5,0.5287527755002225,0.528977332445151,0.7259815026624177,0.7355587503651171,0.20678900496854827,0.08507713698038619,0.2916470336833543,0.9579612414201278
SVR,49.5,0.5769693542689793,0.61014502844855,0.7794907578461269,0.6953136969104589,0.476489670316675,0.46701075829200256,0.6833700782018014,0.7692342806848695
XGBoost,51.5,0.5521763357489428,0.5726217149924853,0.7552167962441059,0.713508631244711,0.2604372450984286,0.1339405586128502,0.35513051071491636,0.9337748772098273
