,MAE,MSE,RMSE,R2,model,MAE_t,MSE_t,RMSE_T,R2_t
38,0.5224865885837623,0.5168142710061908,0.7188979559062544,0.7746928222164077,RF,0.20713013448039813,0.08493459711753906,0.2914354081396752,0.9574005645958565
48,0.4690599232108509,0.4754141858151222,0.6895028541022308,0.7716445736368656,RF,0.20810457518426803,0.08663383707030199,0.29433626529923557,0.9570417280307821
93,0.5960007354288714,0.671283525084848,0.8193189397816018,0.6730144136858327,RF,0.2038941407960957,0.08351930222013594,0.2889970626496677,0.9586678496830459
43,0.5149716338860073,0.5160260680556148,0.71834954448069,0.7519033900562696,RF,0.20849153045606972,0.08649997148132639,0.2941087749138512,0.9571218776826447
3,0.5400013724353077,0.5771326134169635,0.7596924465972816,0.6989254666689656,RF,0.20381862123582092,0.08250944755653108,0.2872445779410485,0.9594084468108749
23,0.5070769914755143,0.48006294145944783,0.69286574562425,0.7557290963609788,RF,0.2063045446527582,0.0849336957280531,0.29143386167028207,0.9580811247975625
77,0.5422001841641774,0.5169003892358909,0.7189578494153123,0.7249231245856124,SVR,0.4787520199937596,0.4697192714037514,0.6853606870865525,0.7696982517765835
7,0.6476972255010381,0.7740679518160614,0.8798113160309211,0.5996674666733566,SVR,0.4700425017481612,0.455635630007667,0.6750078740338271,0.7753576083214362
2,0.5591858292300275,0.613729381016849,0.7834088211252469,0.6798339191278819,SVR,0.47873547242530246,0.4683285942894527,0.6843453764653142,0.7695998990653314
97,0.6108926814971485,0.6301856458246443,0.7938423305824931,0.7130758008165236,SVR,0.47452301076571335,0.4673350683066742,0.6836190959201434,0.766877205417411
67,0.593277497445962,0.6368872986621986,0.7980521904375669,0.6194638746600609,SVR,0.4742025265340162,0.4682486996869432,0.6842870009630048,0.7728872989272919
72,0.6361809815081848,0.6973286413845962,0.835062058403204,0.6737394760748646,SVR,0.47027711632952174,0.45956565656468223,0.6779127204623633,0.7715047556222218
32,0.6161329291001543,0.6559268482065376,0.8098931091239989,0.625570420524888,SVR,0.47440424959878585,0.46858885477297174,0.6845355029309814,0.7718679948211599
57,0.5033736424322105,0.4605478070205298,0.6786367268432573,0.7742180872895916,SVR,0.48124333808516634,0.47432231243154543,0.6887106158841647,0.7649588953694901
12,0.5544820412898398,0.5272727168600516,0.7261354672924685,0.745761298861424,SVR,0.47681068259231946,0.4710016596064084,0.6862956065766473,0.766609664792006
87,0.5333957463403145,0.5282224958433055,0.7267891687713195,0.7532514045871022,SVR,0.4810774803038927,0.47466356849260016,0.6889583213029654,0.763717417924462
17,0.5670115979513866,0.5819418446540681,0.7628511287624001,0.7209698410640186,SVR,0.47756444570262485,0.46842643368388737,0.6844168566625806,0.7677687469913794
52,0.5432525421026099,0.5689051380876429,0.7542580049874466,0.7146862025410705,SVR,0.4831650330074116,0.47409467476934053,0.6885453323996471,0.7660238930514468
47,0.5296240959601962,0.5817457272188185,0.7627225755271824,0.7205704046331396,SVR,0.4802517928335732,0.46803064864225874,0.6841276552239784,0.7679222279166965
22,0.5573042600724133,0.52685190686561,0.7258456494776352,0.7319214205896476,SVR,0.4775906484216192,0.47370879099896945,0.6882650586794083,0.7662018646196196
42,0.6010082977423754,0.629322722046637,0.7932986335842492,0.6974322741317327,SVR,0.47461236227265646,0.46654118907707176,0.6830382046980035,0.7687350662809219
37,0.5932404795651016,0.635907263323379,0.7974379369727647,0.7227737721860201,SVR,0.475324658016884,0.4635288062394083,0.6808294986554331,0.7675144627809409
27,0.5324731498994177,0.5672908708085264,0.7531871419564505,0.7064187820007861,SVR,0.4794341070883355,0.46775064123386045,0.6839229790216589,0.7700389150005014
92,0.6404899568882686,0.7247851606724351,0.8513431509517388,0.64695349750416,SVR,0.4703135507201699,0.45637857796631276,0.675557975281406,0.7741467243557307
62,0.5324894805321401,0.6080726555070595,0.7797901355538293,0.6963089962252089,SVR,0.4807739471069777,0.46329309345775005,0.6806563695858212,0.7712561563869622
82,0.6456744661566214,0.7370081039161589,0.8584917611230517,0.6387338741320867,SVR,0.4706944627866085,0.461052994208497,0.6790088322021275,0.7719985642757976
94,0.6307457319716722,0.7242865138470109,0.8510502416702618,0.6471963908845009,XGBoost,0.16998503852670763,0.05841393227099141,0.2416897438266494,0.9710920306438228
84,0.5801885985839191,0.6130730314910462,0.7829898029291609,0.6994842827589003,XGBoost,0.29653605486486007,0.16578218771497263,0.40716358839534345,0.9180168499254562
89,0.4874602433354205,0.45538788257096274,0.6748243346019487,0.7872746403709174,XGBoost,0.27924329714448465,0.1404986483888597,0.37483149332581395,0.9300612357403611
49,0.5069277591741993,0.49936507619980197,0.7066576796439716,0.760140256036008,XGBoost,0.3066311701145235,0.16567502388872682,0.4070319691237125,0.9178483491508846
74,0.5820899419830511,0.6161763742468901,0.7849690275717189,0.7117083470242767,XGBoost,0.3193146158829446,0.18097290271317476,0.42540910041179747,0.9100205878300163
69,0.5640662586300008,0.5929856485456206,0.7700556139303321,0.645694832423678,XGBoost,0.12498089222548381,0.03539216079734512,0.1881280436228079,0.9828338888269019
64,0.5725158285745149,0.6920056052456813,0.8318687427988152,0.654390186811479,XGBoost,0.29878052315554804,0.15950682108652436,0.3993830505749141,0.9212459588691104
59,0.5049844999937794,0.47728175800715106,0.690855815642563,0.7660143277593825,XGBoost,0.33413863187020826,0.20141596276341917,0.4487938978678511,0.9001922761435264
54,0.5167720159787292,0.47624982990580933,0.6901085638548542,0.7611541214650401,XGBoost,0.20654084015653412,0.08217000794230649,0.2866531143077055,0.9594473011627341
44,0.5686530241280557,0.6118457641895473,0.7822057045237827,0.7058349000161406,XGBoost,0.3416617599824656,0.20704407164575772,0.45502095736983117,0.8973680467510143
39,0.5303383391248593,0.5340211251568481,0.7307674904898603,0.7671914276831828,XGBoost,0.2730508601254643,0.13868118980872896,0.37239923443628203,0.9304436520861914
34,0.5623319774330674,0.6025111288622454,0.7762159035102575,0.656062273977952,XGBoost,0.2670971725034657,0.13172360955618967,0.36293747334243354,0.9358704952724337
29,0.5427734975627524,0.5481200397663938,0.7403512948367105,0.7163399639147219,XGBoost,0.21013532214050787,0.08537886579439533,0.2921966218052415,0.9580250353857036
24,0.539181605416749,0.546297680530238,0.7391195306107382,0.7220268082486534,XGBoost,0.3361857919725184,0.20455471504728448,0.4522772546207519,0.8990423824297907
19,0.5975700714582538,0.6286710963083599,0.7928878207592547,0.6985640446157371,XGBoost,0.3117357326187221,0.17668307225896857,0.42033685569905543,0.9124060294090865
14,0.5597244848793119,0.5340373793200535,0.7307786117012822,0.7424995351811153,XGBoost,0.22714189868645915,0.0980111695799865,0.31306735629890653,0.951433589976061
9,0.5717187482244469,0.6049189416824491,0.7777653512997664,0.6871479670320307,XGBoost,0.1306267597846369,0.039124744014992906,0.19779975736838734,0.9807102968018728
4,0.576742257414803,0.6475180005907759,0.8046850319166972,0.6622073067451741,XGBoost,0.30743875410647453,0.1688706550536378,0.41093874854245344,0.9169219722142044
79,0.5593745212085085,0.5691600249595814,0.7544269513740753,0.6971123169241645,XGBoost,0.3334100007899234,0.19850540864514046,0.44553945801145434,0.9026734787649711
99,0.48936730990276023,0.4785213984232395,0.6917524112160647,0.7821286950211648,XGBoost,0.1341097853166399,0.04040602328560158,0.20101249534693505,0.979844086812404
