,date,edu_value,med_value,edu_gr,med_gr
0,2014,1539,1048,,
1,2015,1726,1168,1.1215074723846654,1.1145038167938932
2,2016,1918,1310,1.2462638076673165,1.25
3,2017,2089,1454,1.3573749187784276,1.3874045801526718
4,2018,2229,1688,1.4483430799220274,1.6106870229007633
5,2019,2516,1905,1.6348278102664067,1.8177480916030535
6,2020,2035,1846,1.322287199480182,1.7614503816793894
7,2021,2602,2118,1.690708252111761,2.0209923664122136
