,0
0,13.384494
1,15.099414
2,16.514492
3,18.50866
4,17.060778
5,16.932674
6,16.311613
7,14.431214
8,13.827705
9,13.6492
10,12.410943
11,11.929255
12,13.062764
13,15.1051655
14,16.595377
15,18.561556
16,17.061407
17,16.871483
18,16.301151
19,14.346171
20,13.772738
